time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-06-13 21:00:00,23356.61,22858.38,23220.82,3035.21,70102460.89,23042.89,direct,
2022-06-13 22:00:00,23106.63,22553.88,23042.89,3318.63,75765185.2,22573.52,direct,
2022-06-13 23:00:00,22623.31,21976.15,22573.52,8562.19,190584346.54,22471.59,direct,
2022-06-14 00:00:00,22769.9,21777.11,22471.59,5383.87,120046592.14,21777.95,direct,
2022-06-14 01:00:00,21855.68,20853.19,21777.95,11391.16,242590827.4,20871.4,direct,
2022-06-14 02:00:00,21709.84,20837.64,20871.4,7727.6,164507281.59,21497.45,direct,
2022-06-14 03:00:00,22237.41,21318.45,21497.45,4754.83,103968814.29,22094.36,direct,
2022-06-14 04:00:00,22415.18,21752.45,22094.36,3886.72,85590480.18,21952.19,direct,
2022-06-14 05:00:00,23214.28,21903.89,21952.19,6322.12,143838075.38,22745.31,direct,
2022-06-14 06:00:00,22880.82,22306.84,22745.31,3199.32,72111496.28,22606.7,direct,
2022-06-14 07:00:00,23012.65,22165.41,22606.7,3804.39,86031553.89,22865.01,direct,
2022-06-14 08:00:00,22954.28,22564.06,22865.01,1823.16,41487126.35,22586.51,direct,
2022-06-14 09:00:00,22665.04,22272.21,22586.51,2497.6,56098497.72,22272.4,direct,
2022-06-14 10:00:00,22606.5,22230.39,22272.4,2533.55,56756772.89,22350.01,direct,
2022-06-14 11:00:00,22394.87,21709.25,22350.01,3524.31,77583006.79,21969.72,direct,
2022-06-14 12:00:00,22419.86,21797.31,21969.72,2950.35,65155892.06,22127.27,direct,
2022-06-14 13:00:00,22563.29,21967.65,22127.27,3897.02,86812541.37,22390.21,direct,
2022-06-14 14:00:00,22516.53,22009.13,22390.21,3801.97,84635640.99,22489.71,direct,
2022-06-14 15:00:00,22769.3,22259.31,22489.71,4155.71,93744340.65,22673.21,direct,
2022-06-14 16:00:00,22740.94,22408.56,22673.21,2503.4,56502005.95,22479.84,direct,
2022-06-14 17:00:00,22716.21,22316.24,22479.84,2422.58,54494380.88,22342.13,direct,
2022-06-14 18:00:00,22569.47,22218.71,22342.13,2042.05,45729104.89,22279.81,direct,
2022-06-14 19:00:00,22307.09,22107.41,22279.81,2584.56,57371241.23,22176.89,direct,
2022-06-14 20:00:00,22222.42,21821.5,22176.89,4103.89,90251246.69,21967.59,direct,
2022-06-14 21:00:00,22071.9,21351.17,21967.59,3254.33,70537768.19,21462.72,direct,
2022-06-14 22:00:00,21629.22,21457.72,21462.72,1663.21,35848462.13,21577.44,direct,
2022-06-14 23:00:00,22269.69,21563.31,21577.44,3281.91,72215521.5,22118.37,direct,
2022-06-15 00:00:00,22127.98,21729.79,22118.37,2024.94,44471348.17,21797.03,direct,
2022-06-15 01:00:00,22270.75,21767.01,21797.03,1900.5,41898178.59,22140.4,direct,
2022-06-15 02:00:00,22153.16,21840.26,22140.4,1450.03,31836642.52,21960.36,direct,
2022-06-15 03:00:00,22020.28,21394.99,21960.36,2999.05,64946878.25,21421.61,direct,
2022-06-15 04:00:00,21456.24,20912.77,21421.61,6045.08,127619515.59,21128.73,direct,
2022-06-15 05:00:00,21312.54,20756.58,21128.73,5023.48,105798423.85,21194.42,direct,
2022-06-15 06:00:00,21378.68,20943.89,21194.42,3500.15,74120929.16,21328.85,direct,
2022-06-15 07:00:00,21412.71,20641.28,21328.85,3556.38,74683293.26,20695.42,direct,
2022-06-15 08:00:00,20723.71,20163.56,20695.42,6788.82,138505383.3,20219.99,direct,
2022-06-15 09:00:00,20392.27,20083.9,20219.99,4703.7,94919834.76,20195.84,direct,
2022-06-15 10:00:00,20677.68,20157.38,20195.84,5584.68,114365826.98,20544.32,direct,
2022-06-15 11:00:00,21257.6,20381.31,20544.32,6423.12,134016737.16,21149.22,direct,
2022-06-15 12:00:00,21518.03,21027.8,21149.22,3702.14,78667999.38,21181.25,direct,
2022-06-15 13:00:00,21758.49,21132.35,21181.25,4639.6,99644234.57,21524.45,direct,
2022-06-15 14:00:00,21738.21,21075.34,21524.45,5274.6,112789212.96,21187.64,direct,
2022-06-15 15:00:00,21476.17,21114.32,21187.64,3066.84,65260646.96,21392.04,direct,
2022-06-15 16:00:00,21509.0,20613.2,21392.04,5405.34,113626327.98,20704.35,direct,
2022-06-15 17:00:00,21377.15,20484.56,20704.35,6049.35,125929855.43,21042.38,direct,
2022-06-15 18:00:00,21867.48,20265.25,21042.38,20393.19,430780362.26,21611.32,direct,
2022-06-15 19:00:00,22154.08,21483.54,21611.32,7050.96,153633403.22,21638.61,direct,
2022-06-15 20:00:00,21892.45,21424.21,21638.61,4453.85,96440569.64,21649.08,direct,
2022-06-15 21:00:00,22383.83,21621.36,21649.08,2678.23,59009911.33,22184.44,direct,
2022-06-15 22:00:00,22743.84,22184.23,22184.44,4095.96,92189451.42,22476.03,direct,
2022-06-15 23:00:00,22661.06,22409.78,22476.03,1819.58,40981913.6,22566.73,direct,
2022-06-16 00:00:00,22782.5,22473.38,22566.73,2050.14,46380525.73,22662.18,direct,
2022-06-16 01:00:00,22961.17,22335.85,22662.18,2305.26,52234231.97,22357.61,direct,
2022-06-16 02:00:00,22517.9,22310.64,22357.61,1338.15,30010127.73,22431.31,direct,
2022-06-16 03:00:00,22499.05,22152.7,22431.31,1396.83,31149404.54,22191.74,direct,
2022-06-16 04:00:00,22336.82,22031.23,22191.74,1175.87,26093684.65,22073.19,direct,
2022-06-16 05:00:00,22169.28,21895.07,22073.19,1190.88,26240810.03,21923.02,direct,
2022-06-16 06:00:00,21976.09,21700.36,21923.02,1273.92,27824021.06,21785.18,direct,
2022-06-16 07:00:00,21920.02,21628.15,21785.18,2786.05,60621657.64,21756.37,direct,
2022-06-16 08:00:00,21872.65,21597.08,21756.37,1401.25,30468082.22,21764.86,direct,
2022-06-16 09:00:00,21767.16,21109.38,21764.86,3367.98,71849383.8,21256.92,direct,
2022-06-16 10:00:00,21334.46,20849.69,21256.92,2649.02,55814639.2,21233.43,direct,
2022-06-16 11:00:00,21267.44,20872.46,21233.43,2428.84,51293839.01,21029.71,direct,
2022-06-16 12:00:00,21473.34,20909.67,21029.71,3102.3,65688571.73,21129.74,direct,
2022-06-16 13:00:00,21328.1,20900.5,21129.74,3148.75,66466995.25,21008.68,direct,
2022-06-16 14:00:00,21104.52,20744.75,21008.68,3875.39,81066368.62,20905.65,direct,
2022-06-16 15:00:00,21245.54,20899.01,20905.65,3361.74,70867233.7,21040.1,direct,
2022-06-16 16:00:00,21214.95,20787.44,21040.1,4364.7,91765032.99,21131.13,direct,
2022-06-16 17:00:00,21420.14,21032.78,21131.13,3815.18,80955339.39,21049.98,direct,
2022-06-16 18:00:00,21090.2,20895.74,21049.98,2161.33,45358085.06,21007.29,direct,
2022-06-16 19:00:00,21096.75,20829.53,21007.29,2086.96,43721779.83,20842.64,direct,
2022-06-16 20:00:00,21012.05,20476.45,20842.64,3862.59,80013619.19,20665.96,direct,
2022-06-16 21:00:00,20898.66,20603.99,20665.96,3007.56,62470323.18,20641.77,direct,
2022-06-16 22:00:00,20665.79,20318.34,20641.77,3442.59,70667308.17,20354.05,direct,
2022-06-16 23:00:00,20450.11,20209.17,20354.05,2849.99,57855749.81,20372.85,direct,
2022-06-17 00:00:00,20598.06,20221.24,20372.85,3416.53,69789306.17,20338.41,direct,
2022-06-17 01:00:00,20896.42,20327.03,20338.41,3278.58,67444749.96,20854.06,direct,
2022-06-17 02:00:00,21016.18,20522.1,20854.06,1860.94,38649135.28,20569.55,direct,
2022-06-17 03:00:00,20653.03,20327.13,20569.55,1422.93,29188836.69,20357.29,direct,
2022-06-17 04:00:00,20610.81,20307.83,20357.29,1017.52,20834752.66,20515.31,direct,
2022-06-17 05:00:00,20949.43,20506.03,20515.31,1378.76,28608780.46,20781.93,direct,
2022-06-17 06:00:00,20960.56,20587.38,20781.93,1507.63,31326167.53,20879.01,direct,
2022-06-17 07:00:00,21243.32,20808.1,20879.01,2028.76,42677886.26,21064.73,direct,
2022-06-17 08:00:00,21330.5,20997.99,21064.73,1200.43,25386638.66,21043.48,direct,
2022-06-17 09:00:00,21108.18,20859.04,21043.48,1289.27,27067579.28,20952.58,direct,
